name,pos,height,weight,wonderlic,40yd,benchpress,vertleap,broadjump,shuttle,3cone
Brandon Burton,CB,73.0,190.0,,4.5,18.0,32.0,118.0,4.07,6.93
Stephen Burton,WR,73.0,221.0,,4.5,19.0,34.5,117.0,4.31,7.04
Jordan Cameron,TE,77.0,254.0,,4.53,23.0,37.5,119.0,4.03,6.82
Marcus Cannon,OT,77.0,358.0,,5.26,33.0,30.5,105.0,4.97,8.07
Rashad Carmichael,CB,70.0,192.0,,4.53,13.0,31.0,116.0,4.06,6.69
Chris Carter,OLB,73.0,248.0,,4.58,27.0,36.0,114.0,4.34,6.88
Delone Carter,RB,69.0,222.0,,4.54,27.0,37.0,120.0,4.07,6.92
Quinton Carter,FS,73.0,208.0,,4.57,23.0,34.5,121.0,4.06,7.05
Jurrell Casey,DT,73.0,300.0,,5.04,26.0,27.5,101.0,4.78,7.51
Anthony Castonzo,OT,79.0,311.0,,5.21,28.0,29.5,105.0,4.4,7.25
Shaun Chapas,FB,74.0,247.0,,4.87,23.0,35.5,116.0,4.4,7.13
Ugo Chinasa,DE,77.0,264.0,,4.63,22.0,28.0,117.0,4.39,7.07
Charles Clay,FB,75.0,245.0,,4.69,18.0,33.5,118.0,4.15,7.07
Randall Cobb,WR,70.0,191.0,,4.46,16.0,33.5,115.0,4.34,7.08
Andy Dalton,QB,74.0,215.0,29.0,4.83,0.0,29.5,106.0,4.27,6.93
Chris Conte,FS,74.0,197.0,,4.52,18.0,35.5,127.0,4.19,7.01
Pat Devlin,QB,75.0,225.0,,4.81,0.0,33.0,116.0,4.32,7.08
Ray Dominguez,OG,76.0,334.0,,5.45,21.0,27.5,90.0,4.9,7.74
Shaun Draughn,RB,71.0,213.0,,4.73,21.0,34.0,118.0,4.2,7.15
Ricky Elmore,DE,77.0,255.0,,4.88,26.0,31.5,106.0,4.32,7.25
Nathan Enderle,QB,76.0,240.0,,5.12,0.0,25.5,102.0,4.46,7.13
Darren Evans,RB,73.0,227.0,,4.56,26.0,35.0,111.0,4.46,6.96
Blaine Gabbert,QB,76.0,234.0,42.0,4.61,0.0,33.5,120.0,4.26,6.84
Mario Fannin,RB,70.0,231.0,,4.37,21.0,37.5,115.0,4.21,6.99
Mason Foster,OLB,73.0,245.0,,4.75,22.0,31.0,110.0,4.45,7.14
Sione Fua,DT,74.0,308.0,,5.28,30.0,24.0,101.0,4.54,7.54
Brandon Fusco,C,76.0,306.0,,5.18,26.0,28.5,108.0,4.43,7.29
Charlie Gantt,TE,76.0,252.0,,4.85,27.0,30.5,112.0,4.4,7.15
A.J. Green,WR,76.0,211.0,10.0,4.48,18.0,34.5,126.0,4.21,6.91
